startup_name,industry,country,founded_year,startup_age,funding_stage,total_funding_usd,team_size,monthly_revenue_usd,annual_revenue_usd,active_users,customer_growth_rate,burn_rate,runway_months,valuation_usd,business_model,number_of_competitors,market_size_usd,market_growth_rate,founder_experience_years,previous_startups,employee_growth_rate,customer_retention_rate,profitability,startup_stage,acquisition_status,ipo_status,success_label,startup_description,website,logo_url,headquarters_city,headquarters_state,headquarters_country,funding_round_date,top_investor,competitor_1,competitor_2,competitor_3,market_trend_score,innovation_score,investor_interest_score,technology_stack,target_audience,unique_selling_proposition,startup_stage_description,employee_count_last_year,monthly_active_users_last_year,customer_acquisition_cost_usd,lifetime_value_usd
VedaVentures Solutions,Healthcare,India,2018,8,Series B,23687587.0,94.0,577751.0,6933012.0,11277.0,0.1561,0.0,999.0,105704000.0,SaaS,2.0,23343175993.0,0.3832,17.0,3.0,0.4208,0.8795,True,Scaling,Not Acquired,Private,Successful,A diagnostic-tech company leveraging SaaS distribution to deliver rapid pathology lab tests directly to homes. The company aims to streamline daily operational workflows and lower transaction costs for its growing customer base.,https://www.vedaventuressolutions.com,https://placehold.co/200x200?text=VedaVentures%20Solutions,Bengaluru,Karnataka,India,2020-11-25,Chiratae Ventures,Curefit,HealthifyMe,Tata 1mg,51,21,69,"Python, Django, React Native, PostgreSQL, AWS, Redis, HIPAA Compliance APIs",Patients in metropolitan areas needing quick at-home diagnostic screenings.,Proprietary AI diagnostic screening assistant boasting a validated 98.4% clinical accuracy rate.,"Growing market share, expanding engineering and sales teams, and scaling system servers.",72.0,7488.0,147.6,565.0
Vertexdhan,E-commerce,India,2022,4,Seed,531410.0,12.0,21259.0,255108.0,5637.0,0.0273,21709.34,6.6,2688000.0,Transactional,20.0,4619707816.0,0.121,6.0,2.0,0.3754,0.7428,False,Early Traction,Not Acquired,Private,Failed,"A hyper-local delivery Transactional platform connecting local neighborhood stores with nearby consumers in tier-2 cities. The platform leverages proprietary algorithms to deliver premium, customizable solutions at a fraction of standard market costs.",https://www.vertexdhan.com,https://placehold.co/200x200?text=Vertexdhan,Bengaluru,Karnataka,India,2022-10-01,Kalaari Capital,BigBasket,Zepto,Nykaa,92,91,44,"Next.js, Python, Django, MySQL, AWS S3, Redis, Shopify APIs",Local retail merchants wanting to list catalog items for home delivery.,Personalized AI stylist widget suggesting fashion catalogs based on local weather and culture.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,11.0,3502.0,24.97,111.11
Eduzone,Proptech,India,2017,9,Bootstrapped,0.0,6.0,11616.0,139392.0,24842.0,-0.0108,10197.7,1.8,932000.0,Marketplace,6.0,534998374.0,0.0551,2.0,3.0,-0.0149,0.8068,False,Early Traction,Not Acquired,Private,Failed,A real estate platform digitizing Marketplace commercial property leasing and tenant compliance workflows. The company aims to streamline daily operational workflows and lower transaction costs for its growing customer base.,https://www.eduzone.com,https://placehold.co/200x200?text=Eduzone,Bengaluru,Karnataka,India,2026-07-10,Peak XV Partners,Magicbricks,NestAway,NoBroker,49,50,36,"Flutter, Node.js, Express, MySQL, AWS, Google Places API",Commercial property brokers managing multi-tenant office parks.,Zero-brokerage rental platform providing 100% verified tenant credit and background reports.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,4.0,19430.0,732.94,2226.26
Quickworks,CleanTech,India,2018,8,Series C,60634319.0,544.0,7442980.0,89315760.0,2759209.0,0.4165,0.0,999.0,293998000.0,Marketplace,19.0,8973187517.0,0.1819,14.0,1.0,1.3925,0.8854,True,Mature,Not Acquired,Private,Successful,"A renewable energy enterprise providing Marketplace solar microgrid control systems for rural Indian communities. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.quickworks.com,https://placehold.co/200x200?text=Quickworks,Mumbai,Maharashtra,India,2024-09-06,Tiger Global,BluSmart,ReNew Power,Yulu,23,96,68,"Python, C++, AWS IoT, PostgreSQL, MATLAB, Docker, Grafana",Manufacturing compliance departments auditing scopes of factory emissions.,Smart modular battery charging system that swap-charges commercial e-rickshaws under 2 minutes.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",396.0,2063543.0,1239.4,5919.45
BazaarNest,Logistics,India,2023,3,Series A,1982459.0,63.0,911556.0,10938672.0,108874.0,0.2761,0.0,999.0,27747000.0,Marketplace,19.0,9633829861.0,0.2242,22.0,4.0,0.8113,0.9162,True,Scaling,Not Acquired,Private,Successful,"A freight logistics startup providing an on-demand Marketplace marketplace matching shippers with empty container trucks. By removing unnecessary middlemen, the team is empowering small businesses to scale efficiently in a digital-first economy.",https://www.bazaarnest.com,https://placehold.co/200x200?text=BazaarNest,Hyderabad,Telangana,India,2024-12-25,Chiratae Ventures,Delhivery,Shiprocket,ElasticRun,75,41,66,"Go, Python, PostgreSQL, AWS S3, RabbitMQ, Docker, Google Maps API",Pharmaceutical companies shipping temperature-sensitive vaccine vials.,IoT-connected temperature tracking label designed for pharmaceutical supply chains.,"Growing market share, expanding engineering and sales teams, and scaling system servers.",51.0,104534.0,487.24,1735.02
PrimeNet,Proptech,India,2016,10,Series C,43977621.0,448.0,3998705.0,47984460.0,1471427.0,0.2544,0.0,999.0,211733000.0,Marketplace,9.0,2915889820.0,0.076,9.0,0.0,0.8354,0.9099,True,Mature,Not Acquired,Private,Successful,"A property management startup providing Marketplace digital rent collection and security automation software. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.primenet.com,https://placehold.co/200x200?text=PrimeNet,Bengaluru,Karnataka,India,2020-09-19,Lightspeed India,Housing.com,NoBroker,99acres,92,32,87,"React, Node.js, MongoDB, AWS, Redis, Google Maps API, Stripe",Commercial property brokers managing multi-tenant office parks.,Immersive 3D virtual property viewing engine built for high-end commercial spaces.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",440.0,1115799.0,1182.8,5030.47
InnoMandi,CleanTech,India,2021,5,Bootstrapped,0.0,3.0,0.0,0.0,2309.0,-0.0085,16426.66,0.8,125000.0,B2C,24.0,12322672376.0,0.1378,2.0,1.0,-0.1017,0.7296,False,Ideation,Not Acquired,Private,Failed,"A sustainability platform offering B2C carbon accounting software for enterprise manufacturing plants. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.innomandi.com,https://placehold.co/200x200?text=InnoMandi,Mumbai,Maharashtra,India,2023-09-18,Peak XV Partners,Ather Energy,Yulu,Lithium Logistics,60,92,39,"Java, C++, AWS IoT, MySQL, PostgreSQL, Docker, Redis",Manufacturing compliance departments auditing scopes of factory emissions.,Smart modular battery charging system that swap-charges commercial e-rickshaws under 2 minutes.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,2.0,1724.0,987.4,3332.24
VertexIq,Edtech,India,2024,2,Seed,277308.0,3.0,3095.0,37140.0,514.0,0.0929,20835.76,2.6,1266000.0,Transactional,22.0,1319620215.0,0.1544,15.0,4.0,0.2993,0.5251,False,Early Traction,Not Acquired,Private,Failed,A skill-development company offering Transactional cohort-based professional training programs with guaranteed job placements. The company aims to streamline daily operational workflows and lower transaction costs for its growing customer base.,https://www.vertexiq.com,https://placehold.co/200x200?text=VertexIq,Bengaluru,Karnataka,India,2024-12-02,Antler India,Vedantu,Unacademy,Eruditus,88,97,23,"Node.js, React, PostgreSQL, AWS CloudFront, Zoom API, Redis, Docker",Parents looking for personalized after-school coding and math modules.,Vernacular-first test prep app containing video classes in 8 regional Indian languages.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,2.0,313.0,159.0,701.27
Nexataxi,Edtech,India,2024,2,Seed,928729.0,6.0,28807.0,345684.0,8404.0,0.0726,0.0,999.0,3410000.0,Marketplace,22.0,994695947.0,0.0675,9.0,4.0,0.2014,0.5879,True,Early Traction,Not Acquired,Private,Failed,"A skill-development company offering Marketplace cohort-based professional training programs with guaranteed job placements. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.nexataxi.com,https://placehold.co/200x200?text=Nexataxi,Mumbai,Maharashtra,India,2025-03-26,Indian Angel Network,Simplilearn,UpGrad,Adda247,26,32,42,"Node.js, React, PostgreSQL, AWS CloudFront, Zoom API, Redis, Docker",College students and graduates training for technical software roles.,AI-powered homework helper providing instant step-by-step math solver sheets.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,4.0,5496.0,40.22,153.95
ShikshaNet,CleanTech,India,2021,5,Late Stage,195950951.0,1800.0,19262312.0,231147744.0,8647251.0,0.1622,0.0,999.0,857557000.0,Transactional,5.0,6701545140.0,0.139,10.0,1.0,0.5863,0.8356,True,Mature,Not Acquired,Private,Successful,"A sustainability platform offering Transactional carbon accounting software for enterprise manufacturing plants. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.shikshanet.com,https://placehold.co/200x200?text=ShikshaNet,Bengaluru,Karnataka,India,2025-09-07,Steadview Capital,BluSmart,Lithium Logistics,Ola Electric,100,49,68,"Java, C++, AWS IoT, MySQL, PostgreSQL, Docker, Redis",Commercial fleet operators managing electric three-wheeler logistics.,Smart modular battery charging system that swap-charges commercial e-rickshaws under 2 minutes.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",1291.0,7650507.0,683.06,3182.32
Flowmandi,AI & Machine Learning,India,2022,4,Series A,6837978.0,66.0,867398.0,10408776.0,4061673.0,0.0842,0.0,999.0,24260000.0,B2C,18.0,10784461084.0,0.2544,14.0,3.0,0.3215,0.8061,True,Scaling,Not Acquired,Private,Successful,An enterprise AI platform providing B2C predictive maintenance systems for heavy manufacturing equipment. The company aims to streamline daily operational workflows and lower transaction costs for its growing customer base.,https://www.flowmandi.com,https://placehold.co/200x200?text=Flowmandi,Bengaluru,Karnataka,India,2024-05-21,Peak XV Partners,Yellow.ai,CoRover,Gupshup,34,28,86,"Python, TensorFlow, Flask, MongoDB, GCP, Docker, HuggingFace",Logistics hubs managing real-time product sorting and scanning.,Fraud prevention engine using deep graph networks to detect syndicate accounts instantly.,"Growing market share, expanding engineering and sales teams, and scaling system servers.",56.0,3608394.0,1550.2,5193.21
Bazaarwave Retail,Cybersecurity,India,2019,7,Series C,53682406.0,303.0,3792720.0,45512640.0,3073.0,0.0929,0.0,999.0,325696000.0,B2B,6.0,2573868573.0,0.2639,19.0,0.0,0.3647,0.7661,True,Mature,Not Acquired,Private,Successful,"An automated compliance platform helping fintech startups achieve instant regulatory certification via a B2B dashboard. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.bazaarwaveretail.com,https://placehold.co/200x200?text=Bazaarwave%20Retail,Gurugram,Haryana,India,2024-12-21,Temasek,Quick Heal,Subex,Securden,46,26,77,"Go, C++, Linux Kernel, MongoDB, AWS, Docker, ELK Stack",Direct-to-consumer platforms handling high volumes of online user accounts.,Continuous automated attack surface testing platform that identifies developer credential leaks.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",255.0,2996.0,1622.24,7830.08
FlowTech,AI & Machine Learning,India,2017,9,Series B,27797108.0,120.0,250410.0,3004920.0,36739.0,0.0585,266511.2,6.9,115918000.0,Marketplace,16.0,2873825194.0,0.275,6.0,4.0,0.2004,0.5682,False,Scaling,Not Acquired,Private,Failed,"A cutting-edge Marketplace software utilizing generative AI agents to automate customer service in local Indian languages. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.flowtech.com,https://placehold.co/200x200?text=FlowTech,Bengaluru,Karnataka,India,2022-08-12,Tiger Global,Yellow.ai,CoRover,Arya.ai,51,67,55,"Python, PyTorch, FastAPI, PostgreSQL, AWS, Docker, Kubernetes",Enterprise customer service divisions wishing to automate voice operations.,Real-time conversational voice AI engine fine-tuned to capture 12 major Indian accents.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,91.0,28448.0,549.87,2180.41
Alphashare,CleanTech,India,2023,3,Series A,6121976.0,49.0,186446.0,2237352.0,3550.0,-0.0128,0.0,999.0,31534000.0,Subscription,19.0,1951099770.0,0.2323,11.0,1.0,-0.0406,0.5962,True,Scaling,Not Acquired,Private,Successful,A renewable energy enterprise providing Subscription solar microgrid control systems for rural Indian communities. The company aims to streamline daily operational workflows and lower transaction costs for its growing customer base.,https://www.alphashare.com,https://placehold.co/200x200?text=Alphashare,Mumbai,Maharashtra,India,2024-07-09,Nexus Venture Partners,Ola Electric,Ather Energy,Yulu,64,96,74,"Go, Python, GCP IoT Core, MongoDB, InfluxDB, Docker, Kubernetes",Manufacturing compliance departments auditing scopes of factory emissions.,Enterprise carbon ledger software that automatically scrapes utilities usage invoices.,"Growing market share, expanding engineering and sales teams, and scaling system servers.",32.0,3234.0,447.28,2168.09
ByteRoom,Fintech,India,2023,3,Bootstrapped,0.0,5.0,0.0,0.0,1164.0,-0.014,23849.06,0.2,29000.0,B2C,5.0,16905749979.0,0.1592,6.0,0.0,-0.0486,0.5697,False,Ideation,Not Acquired,Private,Failed,"A modern financial technology startup building secure B2C APIs to help businesses automate treasury and payouts. The platform leverages proprietary algorithms to deliver premium, customizable solutions at a fraction of standard market costs.",https://www.byteroom.com,https://placehold.co/200x200?text=ByteRoom,Chennai,Tamil Nadu,India,2023-10-18,Peak XV Partners,Cred,PhonePe,Paytm,22,40,48,"Java, Spring Boot, React, PostgreSQL, AWS, Redis, Apache Kafka, Kubernetes",Gig workers and freelance professionals in Tier-1/2 Indian cities.,Unified multi-bank treasury dashboard built specifically for high-growth tech startups.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,4.0,766.0,108.74,493.57
Optimaroom,Healthcare,India,2018,8,Late Stage,249236031.0,579.0,2668535.0,32022420.0,5892.0,0.354,0.0,999.0,1038992000.0,B2B,3.0,20195925698.0,0.3334,8.0,4.0,1.1147,0.8627,True,Mature,Not Acquired,Private,Successful,An health-wellness company offering a custom B2B fitness and preventive care ecosystem for corporate employees. The company aims to streamline daily operational workflows and lower transaction costs for its growing customer base.,https://www.optimaroom.com,https://placehold.co/200x200?text=Optimaroom,Mumbai,Maharashtra,India,2025-10-02,Qatar Investment Authority,Tata 1mg,HealthifyMe,Cult.fit,87,47,67,"Python, Django, React Native, PostgreSQL, AWS, Redis, HIPAA Compliance APIs",Working professionals seeking corporate mental wellness and physical fitness plans.,Hyper-local home medicine delivery in under 15 minutes with automated prescription verification.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",553.0,3777.0,131.51,429.44
Arogyabus,CleanTech,India,2016,10,Series B,29824970.0,161.0,1578504.0,18942048.0,27345.0,0.3219,0.0,999.0,164898000.0,Subscription,15.0,2744352511.0,0.147,22.0,1.0,0.9615,0.8458,True,Scaling,Not Acquired,Private,Successful,"A renewable energy enterprise providing Subscription solar microgrid control systems for rural Indian communities. With a dedicated focus on user experience and localization, they are solving critical pain points in highly fragmented sectors.",https://www.arogyabus.com,https://placehold.co/200x200?text=Arogyabus,Hyderabad,Telangana,India,2018-10-13,Elevation Capital,Ola Electric,Avanse,Lithium Logistics,30,45,67,"Go, Python, GCP IoT Core, MongoDB, InfluxDB, Docker, Kubernetes",Manufacturing compliance departments auditing scopes of factory emissions.,Smart modular battery charging system that swap-charges commercial e-rickshaws under 2 minutes.,"Growing market share, expanding engineering and sales teams, and scaling system servers.",114.0,26746.0,797.18,3529.4
AlphaTrip,AI & Machine Learning,India,2025,1,Bootstrapped,0.0,6.0,25929.0,311148.0,761.0,0.0878,1663.25,13.6,2043000.0,Subscription,20.0,24547619097.0,0.3553,18.0,0.0,0.296,0.5909,False,Ideation,Not Acquired,Private,Failed,A computer vision company building Subscription visual inspection tools for quality assurance in logistics lines. The company aims to streamline daily operational workflows and lower transaction costs for its growing customer base.,https://www.alphatrip.com,https://placehold.co/200x200?text=AlphaTrip,Bengaluru,Karnataka,India,2026-07-27,Peak XV Partners,Crux,Fractal Analytics,Arya.ai,69,49,54,"Python, TensorFlow, Flask, MongoDB, GCP, Docker, HuggingFace",Enterprise customer service divisions wishing to automate voice operations.,Real-time conversational voice AI engine fine-tuned to capture 12 major Indian accents.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,5.0,758.0,1121.96,3464.68
Vertexgo Retail,Edtech,India,2019,7,Series C,80759568.0,423.0,5928064.0,71136768.0,6484227.0,0.1982,0.0,999.0,310715000.0,Freemium,12.0,4302882995.0,0.113,4.0,1.0,0.5714,0.9322,True,Mature,Not Acquired,Private,Successful,"A skill-development company offering Freemium cohort-based professional training programs with guaranteed job placements. With a dedicated focus on user experience and localization, they are solving critical pain points in highly fragmented sectors.",https://www.vertexgoretail.com,https://placehold.co/200x200?text=Vertexgo%20Retail,Hyderabad,Telangana,India,2025-06-02,Peak XV Partners,Simplilearn,Adda247,UpGrad,58,24,88,"Python, Flask, Flutter, MongoDB, AWS, Twilio, Redis",Aspirants preparing for national and state civil services examinations.,Gamified coding sandbox providing interactive story-based programming modules for school kids.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",400.0,5086308.0,112.03,346.43
Flowtrip,SaaS,India,2018,8,Series C,85544349.0,471.0,3077510.0,36930120.0,3117427.0,0.3036,0.0,999.0,573968000.0,Freemium,13.0,11631158512.0,0.1271,21.0,3.0,1.047,0.9194,True,Mature,Not Acquired,Private,Successful,"A collaborative no-code Freemium spreadsheet platform designed specifically for remote product and design teams. By removing unnecessary middlemen, the team is empowering small businesses to scale efficiently in a digital-first economy.",https://www.flowtrip.com,https://placehold.co/200x200?text=Flowtrip,Pune,Maharashtra,India,2023-12-08,General Catalyst,Postman,Chargebee,Freshworks,58,97,84,"Node.js, Express, React, MongoDB, AWS, Redis, Docker, GitHub Actions",Digital marketing agencies managing multiple high-spend advertising campaigns.,Developer-first API monitoring platform requiring zero code integration to get started.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",337.0,2462107.0,164.61,743.54
FinFlow,Logistics,India,2022,4,Series B,9851589.0,101.0,1341438.0,16097256.0,142026.0,0.0651,0.0,999.0,58145000.0,Transactional,7.0,12729909498.0,0.254,20.0,2.0,0.1917,0.8178,True,Scaling,Not Acquired,Private,Successful,"A freight logistics startup providing an on-demand Transactional marketplace matching shippers with empty container trucks. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.finflow.com,https://placehold.co/200x200?text=FinFlow,Bengaluru,Karnataka,India,2025-02-03,Matrix Partners India,Porter,Dunzo,Shiprocket,72,37,81,"Go, Python, PostgreSQL, AWS S3, RabbitMQ, Docker, Google Maps API",Pharmaceutical companies shipping temperature-sensitive vaccine vials.,IoT-connected temperature tracking label designed for pharmaceutical supply chains.,"Growing market share, expanding engineering and sales teams, and scaling system servers.",87.0,120996.0,164.23,586.82
Rupeego,Logistics,India,2023,3,Seed,56515.0,4.0,6997.0,83964.0,24842.0,0.054,23530.6,1.4,278000.0,Transactional,17.0,6516317450.0,0.1234,12.0,1.0,0.2164,0.67,False,Early Traction,Not Acquired,Private,Failed,"A last-mile delivery optimization software using an advanced Transactional routing engine to cut logistics fuel costs. By removing unnecessary middlemen, the team is empowering small businesses to scale efficiently in a digital-first economy.",https://www.rupeego.com,https://placehold.co/200x200?text=Rupeego,Gurugram,Haryana,India,2023-11-17,Antler India,Delhivery,BlackBuck,Rivigo,83,96,53,"Go, Python, PostgreSQL, AWS S3, RabbitMQ, Docker, Google Maps API",Small trucking companies trying to reduce deadhead return miles.,IoT-connected temperature tracking label designed for pharmaceutical supply chains.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,3.0,19430.0,404.57,1756.74
Rupeeroom,Fintech,India,2017,9,Series B,25838836.0,99.0,126154.0,1513848.0,83739.0,0.0696,0.0,20.3,167503000.0,Freemium,18.0,27205739890.0,0.1871,1.0,4.0,0.149,0.7882,False,Scaling,Not Acquired,Private,Failed,"An advanced Freemium credit scoring engine leveraging alternative data to provide micro-loans to small merchants. The platform leverages proprietary algorithms to deliver premium, customizable solutions at a fraction of standard market costs.",https://www.rupeeroom.com,https://placehold.co/200x200?text=Rupeeroom,Bengaluru,Karnataka,India,2020-12-10,Tiger Global,Paytm,Pine Labs,Groww,48,45,45,"Python, Django, React, PostgreSQL, AWS, Redis, Docker, Celery",Small and Medium Enterprises (SMEs) struggling with cash flow management.,Instant payment settlements with zero transaction fees for small merchants.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,81.0,73953.0,73.07,235.94
VidyaStack,E-commerce,India,2018,8,Series C,76450555.0,179.0,1664764.0,19977168.0,1347.0,0.1365,0.0,999.0,279665000.0,B2B,25.0,1307544022.0,0.1794,16.0,0.0,0.4879,0.9549,True,Mature,Not Acquired,Private,Successful,"A specialized B2B platform offering premium beauty and personal care products tailored for Indian skin tones. By removing unnecessary middlemen, the team is empowering small businesses to scale efficiently in a digital-first economy.",https://www.vidyastack.com,https://placehold.co/200x200?text=VidyaStack,Chennai,Tamil Nadu,India,2023-06-22,Tiger Global,BigBasket,Blinkit,Meesho,48,51,76,"React, Node.js, Express, PostgreSQL, AWS, Elasticsearch, Redis, Stripe","Gen Z and millennial shoppers seeking ethical, direct-to-consumer fashion products.",Personalized AI stylist widget suggesting fashion catalogs based on local weather and culture.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",117.0,820.0,15.12,61.77
Vedafit,Proptech,India,2021,5,Series A,2357767.0,28.0,116223.0,1394676.0,102232.0,-0.0057,0.0,999.0,7324000.0,B2C,20.0,2662586237.0,0.1104,18.0,2.0,-0.0753,0.6028,True,Scaling,Not Acquired,Private,Failed,A real estate platform digitizing B2C commercial property leasing and tenant compliance workflows. The company aims to streamline daily operational workflows and lower transaction costs for its growing customer base.,https://www.vedafit.com,https://placehold.co/200x200?text=Vedafit,Bengaluru,Karnataka,India,2023-11-17,Nexus Venture Partners,NestAway,NoBroker,99acres,54,67,39,"Flutter, Node.js, Express, MySQL, AWS, Google Places API",Individual landlords tracking rents and tenants across residential buildings.,Immersive 3D virtual property viewing engine built for high-end commercial spaces.,Struggling to sustain daily operations due to cash runway constraints and customer churn.,19.0,81359.0,434.6,2123.7
BioTaxi,Proptech,India,2022,4,Series B,15989256.0,149.0,878688.0,10544256.0,18343.0,0.1515,0.0,999.0,100609000.0,SaaS,12.0,557991866.0,0.1457,1.0,3.0,0.5035,0.9249,True,Scaling,Not Acquired,Private,Successful,"A property management startup providing SaaS digital rent collection and security automation software. By removing unnecessary middlemen, the team is empowering small businesses to scale efficiently in a digital-first economy.",https://www.biotaxi.com,https://placehold.co/200x200?text=BioTaxi,Mumbai,Maharashtra,India,2025-07-19,Nexus Venture Partners,Housing.com,99acres,Magicpin,45,66,75,"Next.js, Python, FastAPI, PostgreSQL, GCP, Elasticsearch, Docker",Individual landlords tracking rents and tenants across residential buildings.,Immersive 3D virtual property viewing engine built for high-end commercial spaces.,"Growing market share, expanding engineering and sales teams, and scaling system servers.",97.0,16022.0,752.79,2516.24
TerraIq,AI & Machine Learning,India,2022,4,Series C,54559391.0,580.0,8405969.0,100871628.0,6575.0,0.2374,0.0,999.0,309848000.0,B2B,22.0,27595524675.0,0.2419,19.0,1.0,0.7273,0.879,True,Mature,Not Acquired,Private,Successful,"An enterprise AI platform providing B2B predictive maintenance systems for heavy manufacturing equipment. By removing unnecessary middlemen, the team is empowering small businesses to scale efficiently in a digital-first economy.",https://www.terraiq.com,https://placehold.co/200x200?text=TerraIq,Bengaluru,Karnataka,India,2026-02-14,SoftBank Vision Fund,Gupshup,Haptik,Arya.ai,42,63,78,"Python, TensorFlow, Flask, MongoDB, GCP, Docker, HuggingFace",Enterprise customer service divisions wishing to automate voice operations.,Fraud prevention engine using deep graph networks to detect syndicate accounts instantly.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",500.0,4063.0,2284.49,9323.36
KrishiShow,Edtech,India,2019,7,Late Stage,355156700.0,806.0,6575157.0,78901884.0,24842.0,0.11399999999999999,0.0,999.0,1312602000.0,B2B,2.0,351178895.0,0.1239,11.0,1.0,0.941,0.9195,True,Scaling,Acquired,Private,Successful,A skill-development company offering B2B cohort-based professional training programs with guaranteed job placements. The company aims to streamline daily operational workflows and lower transaction costs for its growing customer base.,https://www.krishishow.com,https://placehold.co/200x200?text=KrishiShow,Pune,Maharashtra,India,2025-09-03,Qatar Investment Authority,Vedantu,Unacademy,Eruditus,96,38,80,"Python, Flask, Flutter, MongoDB, AWS, Twilio, Redis",Parents looking for personalized after-school coding and math modules.,Vernacular-first test prep app containing video classes in 8 regional Indian languages.,"Growing market share, expanding engineering and sales teams, and scaling system servers.",780.0,19430.0,56.46,222.54
SaaSMandi Labs,Healthcare,India,2025,1,Seed,849814.0,7.0,82364.0,988368.0,278.0,0.2987,0.0,999.0,3379000.0,B2B,2.0,8618592329.0,0.3365,18.0,2.0,0.9852,0.7569,True,Ideation,Not Acquired,Private,Successful,"A diagnostic-tech company leveraging B2B distribution to deliver rapid pathology lab tests directly to homes. By removing unnecessary middlemen, the team is empowering small businesses to scale efficiently in a digital-first economy.",https://www.saasmandilabs.com,https://placehold.co/200x200?text=SaaSMandi%20Labs,Hyderabad,Telangana,India,2025-02-28,Blume Ventures,Practo,MediBuddy,Tata 1mg,37,50,83,"Java, Spring Boot, React, MySQL, AWS, Kubernetes, HL7 Integrations",Independent doctors and clinical groups wanting to digitize their prescription cards.,Hyper-local home medicine delivery in under 15 minutes with automated prescription verification.,"Developing initial wireframes, gathering customer survey data, and refining core vision.",6.0,264.0,87.54,277.7
OmniTaxi,Edtech,India,2016,10,Series C,99116448.0,553.0,2924582.0,35094984.0,325420.0,0.11399999999999999,0.0,999.0,517454000.0,Marketplace,16.0,1041617795.0,0.1011,14.0,4.0,1.3008,0.9489,True,Mature,Not Acquired,Private,Successful,"An interactive online academy focusing on live Marketplace coding classes for kids and teenagers in Tier-1/2 cities. Utilizing state-of-the-art technological pipelines, they are aggressively expanding their regional footprint across the subcontinent.",https://www.omnitaxi.com,https://placehold.co/200x200?text=OmniTaxi,Bengaluru,Karnataka,India,2022-01-22,Peak XV Partners,Eruditus,Unacademy,Adda247,73,34,79,"Python, Flask, Flutter, MongoDB, AWS, Twilio, Redis",Aspirants preparing for national and state civil services examinations.,Gamified coding sandbox providing interactive story-based programming modules for school kids.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",452.0,301960.0,151.27,723.46
BioSpace,Fintech,India,2021,5,Series C,55254832.0,365.0,2537195.0,30446340.0,392207.0,0.3147,0.0,999.0,290350000.0,Transactional,19.0,22778383116.0,0.3349,11.0,4.0,0.9892,0.8264,True,Mature,Not Acquired,Private,Successful,An advanced Transactional credit scoring engine leveraging alternative data to provide micro-loans to small merchants. The company aims to streamline daily operational workflows and lower transaction costs for its growing customer base.,https://www.biospace.com,https://placehold.co/200x200?text=BioSpace,Mumbai,Maharashtra,India,2026-04-22,Steadview Capital,BharatPe,Cred,Paytm,22,23,94,"Go, Gin, React, MySQL, GCP, Redis, RabbitMQ, Kubernetes",Retail individual investors seeking simple mutual fund and gold investments.,Unified multi-bank treasury dashboard built specifically for high-growth tech startups.,"Optimizing bottom-line operating margins, maintaining market dominance, and preparing for future exits.",284.0,275333.0,169.43,614.16
