"id","name","investment_firm","investor_type","firm_logo","short_description","investment_thesis","preferred_industries","preferred_startup_stages","preferred_funding_stages","preferred_business_models","preferred_locations","min_investment_amount","max_investment_amount","typical_check_size","portfolio_size","portfolio_companies","successful_exits","total_investments","website","linkedin","contact_email","application_url","verified","active","created_at","updated_at","about_details","banner_image","office_photo","portfolio_companies_json","recent_investments_json","representative_photo","team_members_json"
"796","Greylock Collective","Greylock Collective","Micro VC","https://images.unsplash.com/photo-1614850523459-c2f4c699c52e?w=150&auto=format&fit=crop&q=60","Private family office investing in mid-to-late stage technology leaders in CleanTech.","We support high-growth startups in CleanTech and Edtech with venture debt and flexible non-dilutive capital. We partner with founders who already have institutional VC backing.","[""CleanTech"", ""Edtech"", ""Cybersecurity"", ""E-commerce"", ""Enterprise Software""]","[""Scaling"", ""MVP"", ""Prototype""]","[""Pre-Seed"", ""Series A"", ""Growth"", ""Pre-Series A"", ""Series C""]","[""D2C"", ""Transactional"", ""Freemium"", ""SaaS"", ""B2B2C""]","[""Jaipur"", ""Ahmedabad"", ""Gurugram""]","92000.0","870000.0","482000.0","79","UrjaPay, SaaSWorks, FlowBazaar, GrowDhan, BioDesk, SehatFit","3","121","https://www.greylockcollective.com","https://www.linkedin.com/company/greylockcollective","info@greylockcollective.com","https://www.greylockcollective.com/apply","true","true","2025-01-02 18:31:29","2025-03-19 18:31:29","### About Greylock Collective

Greylock Collective is a leading early/growth stage investor focusing on tech enablement. We backing startups in **CleanTech**, **Edtech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.greylockcollective.com/apply.","https://images.unsplash.com/photo-1635070041078-e363dbe005cb?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1531973576160-7125cd663d86?w=600&auto=format&fit=crop&q=80","[{""name"": ""UrjaPay"", ""logo"": ""https://logo.clearbit.com/urjapay.com"", ""sector"": ""E-commerce"", ""stage"": ""Series C""}, {""name"": ""SaaSWorks"", ""logo"": ""https://logo.clearbit.com/saasworks.com"", ""sector"": ""Edtech"", ""stage"": ""Series C""}, {""name"": ""FlowBazaar"", ""logo"": ""https://logo.clearbit.com/flowbazaar.com"", ""sector"": ""Enterprise Software"", ""stage"": ""Growth""}]","[{""company_name"": ""AeroGo"", ""amount"": 413000.0, ""date"": ""2025-07-25"", ""stage"": ""Series C""}, {""company_name"": ""CoreMetrics"", ""amount"": 426000.0, ""date"": ""2026-05-07"", ""stage"": ""Pre-Seed""}]","https://images.unsplash.com/photo-1534528741775-53994a69daeb?w=400&auto=format&fit=crop&q=80","[{""name"": ""Vivek Sandhu"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/greylockcollective""}, {""name"": ""Ravi Grover"", ""role"": ""Venture Partner"", ""linkedin"": ""https://www.linkedin.com/in/ravi-grover""}, {""name"": ""Ashish Sen"", ""role"": ""Partner"", ""linkedin"": ""https://www.linkedin.com/in/ashish-sen""}]"
"797","Ketan Malhotra","Independent","Angel Investor","https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=150&auto=format&fit=crop&q=60","Independent angel investor and startup operator backing early teams in Robotics.","Our syndicate of successful operators and executives invest in early stages of Robotics and Edtech. We bring strategic advisory, customer intros, and follow-on connections.","[""Robotics"", ""Edtech"", ""Web3"", ""Climate Tech"", ""HRTech"", ""Spacetech"", ""SaaS""]","[""Growth"", ""Scaling"", ""Early Traction""]","[""Series B"", ""Series C"", ""Seed"", ""Pre-Seed"", ""Pre-Series A""]","[""B2B"", ""Subscription"", ""Marketplace"", ""D2C"", ""SaaS""]","[""Delhi NCR"", ""Kochi"", ""Mumbai""]","18000.0","70000.0","51000.0","6","SaaSTrip, LogiPay, EcoZone, AeroLy, ShipHub, KhataGo","0","44","https://www.ketanmalhotra.com","https://www.linkedin.com/in/ketan-malhotra","hello@ketanmalhotra.com","https://www.ketanmalhotra.com/pitch","true","true","2024-06-17 18:31:29","2024-08-22 18:31:29","### About Ketan Malhotra

Ketan Malhotra is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Robotics**, **Edtech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.ketanmalhotra.com/pitch.","https://images.unsplash.com/photo-1618005198143-e528346d9a59?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=600&auto=format&fit=crop&q=80","[{""name"": ""SaaSTrip"", ""logo"": ""https://logo.clearbit.com/saastrip.com"", ""sector"": ""Edtech"", ""stage"": ""Series B""}, {""name"": ""LogiPay"", ""logo"": ""https://logo.clearbit.com/logipay.com"", ""sector"": ""Edtech"", ""stage"": ""Series B""}, {""name"": ""EcoZone"", ""logo"": ""https://logo.clearbit.com/ecozone.com"", ""sector"": ""Web3"", ""stage"": ""Series B""}]","[{""company_name"": ""NovaBook"", ""amount"": 43000.0, ""date"": ""2025-08-20"", ""stage"": ""Pre-Series A""}, {""company_name"": ""InnoIfy"", ""amount"": 51000.0, ""date"": ""2026-06-07"", ""stage"": ""Pre-Series A""}]","https://images.unsplash.com/photo-1544005313-94ddf0286df2?w=400&auto=format&fit=crop&q=80","[{""name"": ""Ketan Malhotra"", ""role"": ""Investor"", ""linkedin"": ""https://www.linkedin.com/in/ketan-malhotra""}]"
"798","Battery Partners","Battery Partners","Family Office","https://images.unsplash.com/photo-1620641788421-7a1c342ea42e?w=150&auto=format&fit=crop&q=60","Micro VC fund partnering with founders at the idea and prototype stage in D2C Brands and Climate Tech.","We write early-stage checks for founders targeting deep tech opportunities in D2C Brands and Climate Tech. We back teams with strong scientific breakthroughs and proprietary technology.","[""D2C Brands"", ""Climate Tech"", ""Edtech"", ""Deeptech"", ""Logistics""]","[""Growth"", ""Prototype""]","[""Growth"", ""Pre-Series A"", ""Late Stage"", ""Seed""]","[""Subscription"", ""Freemium"", ""D2C"", ""Marketplace"", ""B2C""]","[""Mumbai"", ""Kolkata"", ""Gurugram""]","1541000.0","17870000.0","6775000.0","69","GuruBazaar, ByteWorks, KhataPay, ArogyaStack","2","120","https://www.batterypartners.com","https://www.linkedin.com/company/batterypartners","info@batterypartners.com","https://www.batterypartners.com/apply","false","true","2025-11-23 18:31:29","2026-01-16 18:31:29","### About Battery Partners

Battery Partners is a leading early/growth stage investor focusing on tech enablement. We backing startups in **D2C Brands**, **Climate Tech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.batterypartners.com/apply.","https://images.unsplash.com/photo-1579783900882-c0d3dad7b119?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497215728101-856f4ea42174?w=600&auto=format&fit=crop&q=80","[{""name"": ""GuruBazaar"", ""logo"": ""https://logo.clearbit.com/gurubazaar.com"", ""sector"": ""D2C Brands"", ""stage"": ""Growth""}, {""name"": ""ByteWorks"", ""logo"": ""https://logo.clearbit.com/byteworks.com"", ""sector"": ""D2C Brands"", ""stage"": ""Pre-Series A""}, {""name"": ""KhataPay"", ""logo"": ""https://logo.clearbit.com/khatapay.com"", ""sector"": ""D2C Brands"", ""stage"": ""Late Stage""}]","[{""company_name"": ""DesiZone"", ""amount"": 7493000.0, ""date"": ""2025-10-01"", ""stage"": ""Late Stage""}, {""company_name"": ""BioLabs"", ""amount"": 6274000.0, ""date"": ""2026-01-12"", ""stage"": ""Late Stage""}]","https://images.unsplash.com/photo-1580489944761-15a19d654956?w=400&auto=format&fit=crop&q=80","[{""name"": ""Zoya Kapoor"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/batterypartners""}, {""name"": ""Umesh Wadhwa"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/umesh-wadhwa""}, {""name"": ""Divya Sidhu"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/divya-sidhu""}]"
"799","Alok Rao","Independent","Angel Investor","https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=150&auto=format&fit=crop&q=60","Premium angel network syndicate of 500+ operators investing in Creator Economy and Fintech.","Our focus is on backing world-class product builders creating solutions in Creator Economy and Fintech for global markets. We take a hands-on approach to helping startups build product-market fit.","[""Creator Economy"", ""Fintech"", ""Gaming"", ""Cybersecurity"", ""Deeptech"", ""Insurtech"", ""Climate Tech""]","[""Prototype"", ""Growth"", ""Early Traction""]","[""Series B"", ""Growth"", ""Pre-Series A"", ""Series A""]","[""Freemium"", ""B2C"", ""Subscription""]","[""Ahmedabad"", ""Bengaluru""]","17000.0","200000.0","95000.0","38","AeroLy, HealthBook, GrowGo, FlexShow, HealthZone, IndiFlow","0","80","https://www.alokrao.com","https://www.linkedin.com/in/alok-rao","hello@alokrao.com","https://www.alokrao.com/pitch","false","true","2024-01-08 18:31:29","2024-03-06 18:31:29","### About Alok Rao

Alok Rao is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Creator Economy**, **Fintech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.alokrao.com/pitch.","https://images.unsplash.com/photo-1634017839464-5c339ebe3cb4?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366216548-37526070297c?w=600&auto=format&fit=crop&q=80","[{""name"": ""AeroLy"", ""logo"": ""https://logo.clearbit.com/aeroly.com"", ""sector"": ""Creator Economy"", ""stage"": ""Series A""}, {""name"": ""HealthBook"", ""logo"": ""https://logo.clearbit.com/healthbook.com"", ""sector"": ""Cybersecurity"", ""stage"": ""Series B""}, {""name"": ""GrowGo"", ""logo"": ""https://logo.clearbit.com/growgo.com"", ""sector"": ""Deeptech"", ""stage"": ""Pre-Series A""}]","[{""company_name"": ""EduDukaan"", ""amount"": 113000.0, ""date"": ""2025-11-30"", ""stage"": ""Growth""}, {""company_name"": ""AquaSecure"", ""amount"": 91000.0, ""date"": ""2026-01-13"", ""stage"": ""Series A""}, {""company_name"": ""GuruFit"", ""amount"": 86000.0, ""date"": ""2026-01-29"", ""stage"": ""Series A""}]","https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?w=400&auto=format&fit=crop&q=80","[{""name"": ""Alok Rao"", ""role"": ""Investor"", ""linkedin"": ""https://www.linkedin.com/in/alok-rao""}]"
"800","General Group","General Group","Institutional VC","https://images.unsplash.com/photo-1618005198143-e528346d9a59?w=150&auto=format&fit=crop&q=60","Venture debt fund providing flexible capital solutions to scaling startups in Enterprise Software.","We write early-stage checks for founders targeting deep tech opportunities in Enterprise Software and Healthcare. We back teams with strong scientific breakthroughs and proprietary technology.","[""Enterprise Software"", ""Healthcare"", ""Consumer Internet"", ""Creator Economy""]","[""Prototype"", ""Scaling""]","[""Seed"", ""Late Stage"", ""Series A"", ""Series B""]","[""B2B"", ""Subscription"", ""SaaS"", ""B2B2C""]","[""Kolkata"", ""Jaipur"", ""Chennai"", ""Delhi NCR""]","2568000.0","31500000.0","8031000.0","120","BharatHub, EcoLy, BioStay, CloudGo","7","134","https://www.generalgroup.com","https://www.linkedin.com/company/generalgroup","info@generalgroup.com","https://www.generalgroup.com/apply","true","true","2024-03-31 18:31:29","2024-06-16 18:31:29","### About General Group

General Group is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Enterprise Software**, **Healthcare** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.generalgroup.com/apply.","https://images.unsplash.com/photo-1634017839464-5c339ebe3cb4?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1531973576160-7125cd663d86?w=600&auto=format&fit=crop&q=80","[{""name"": ""BharatHub"", ""logo"": ""https://logo.clearbit.com/bharathub.com"", ""sector"": ""Enterprise Software"", ""stage"": ""Seed""}, {""name"": ""EcoLy"", ""logo"": ""https://logo.clearbit.com/ecoly.com"", ""sector"": ""Enterprise Software"", ""stage"": ""Late Stage""}, {""name"": ""BioStay"", ""logo"": ""https://logo.clearbit.com/biostay.com"", ""sector"": ""Healthcare"", ""stage"": ""Late Stage""}]","[{""company_name"": ""IndiStay"", ""amount"": 7202000.0, ""date"": ""2025-11-06"", ""stage"": ""Series A""}, {""company_name"": ""SehatBazaar"", ""amount"": 7794000.0, ""date"": ""2026-02-20"", ""stage"": ""Series A""}, {""company_name"": ""AquaFit"", ""amount"": 9626000.0, ""date"": ""2026-03-11"", ""stage"": ""Seed""}]","https://images.unsplash.com/photo-1500648767791-00dcc994a43e?w=400&auto=format&fit=crop&q=80","[{""name"": ""Ketan Reddy"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/generalgroup""}, {""name"": ""Vihan Iyer"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/vihan-iyer""}]"
"801","Alibaba Seed Fund","Alibaba Seed Fund","Venture Debt","https://images.unsplash.com/photo-1626908013351-800ddd734b8a?w=150&auto=format&fit=crop&q=60","Premium angel network syndicate of 500+ operators investing in Insurtech and Spacetech.","We believe that the next decade of growth in India will be driven by digitizing traditional industries like Insurtech and Spacetech. We invest in category-defining companies with high capital efficiency.","[""Insurtech"", ""Spacetech"", ""Agritech"", ""AI & Machine Learning"", ""B2B Marketplaces"", ""Cybersecurity"", ""CleanTech""]","[""Prototype"", ""Idea""]","[""Series C"", ""Pre-Series A"", ""Series B""]","[""B2B2C"", ""Marketplace"", ""Subscription"", ""D2C"", ""B2C""]","[""Pune"", ""Bengaluru"", ""Ahmedabad"", ""Gurugram""]","630000.0","3000000.0","1647000.0","125","PaisaMind, SaaSHub, LogiRoom, IndiLabs","2","153","https://www.alibabaseedfund.vc","https://www.linkedin.com/company/alibabaseedfund","info@alibabaseedfund.vc","https://www.alibabaseedfund.vc/apply","true","true","2025-06-01 18:31:29","2025-07-31 18:31:29","### About Alibaba Seed Fund

Alibaba Seed Fund is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Insurtech**, **Spacetech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.alibabaseedfund.vc/apply.","https://images.unsplash.com/photo-1579783900882-c0d3dad7b119?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=600&auto=format&fit=crop&q=80","[{""name"": ""PaisaMind"", ""logo"": ""https://logo.clearbit.com/paisamind.com"", ""sector"": ""AI & Machine Learning"", ""stage"": ""Pre-Series A""}, {""name"": ""SaaSHub"", ""logo"": ""https://logo.clearbit.com/saashub.com"", ""sector"": ""Insurtech"", ""stage"": ""Pre-Series A""}, {""name"": ""LogiRoom"", ""logo"": ""https://logo.clearbit.com/logiroom.com"", ""sector"": ""AI & Machine Learning"", ""stage"": ""Series B""}]","[{""company_name"": ""LensFit"", ""amount"": 1909000.0, ""date"": ""2026-01-07"", ""stage"": ""Pre-Series A""}, {""company_name"": ""PulseIfy"", ""amount"": 1943000.0, ""date"": ""2026-01-16"", ""stage"": ""Series B""}]","https://images.unsplash.com/photo-1580489944761-15a19d654956?w=400&auto=format&fit=crop&q=80","[{""name"": ""Ashish Mehta"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/alibabaseedfund""}, {""name"": ""Anjali Goel"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/anjali-goel""}, {""name"": ""Zoya Bansal"", ""role"": ""Associate"", ""linkedin"": ""https://www.linkedin.com/in/zoya-bansal""}]"
"802","Alteria Capital India","Alteria Capital India","Family Office","https://images.unsplash.com/photo-1618005198143-e528346d9a59?w=150&auto=format&fit=crop&q=60","Micro VC fund partnering with founders at the idea and prototype stage in CleanTech and Climate Tech.","We believe that the next decade of growth in India will be driven by digitizing traditional industries like CleanTech and Climate Tech. We invest in category-defining companies with high capital efficiency.","[""CleanTech"", ""Climate Tech"", ""E-commerce"", ""Fintech"", ""HRTech"", ""B2B Marketplaces"", ""Enterprise Software""]","[""Scaling"", ""MVP"", ""Early Traction""]","[""Growth"", ""Seed"", ""Series C""]","[""Freemium"", ""Subscription"", ""B2B""]","[""Ahmedabad"", ""Jaipur""]","1001000.0","8460000.0","3837000.0","64","LensBazaar, KhataZone, BharatBazaar, SehatShow, SaaSRoom, RupeeMind, EduIfy","5","97","https://www.alteriacapitalindia.com","https://www.linkedin.com/company/alteriacapitalindia","info@alteriacapitalindia.com","https://www.alteriacapitalindia.com/apply","true","true","2023-11-02 18:31:29","2023-12-29 18:31:29","### About Alteria Capital India

Alteria Capital India is a leading early/growth stage investor focusing on tech enablement. We backing startups in **CleanTech**, **Climate Tech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.alteriacapitalindia.com/apply.","https://images.unsplash.com/photo-1579783900882-c0d3dad7b119?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=600&auto=format&fit=crop&q=80","[{""name"": ""LensBazaar"", ""logo"": ""https://logo.clearbit.com/lensbazaar.com"", ""sector"": ""HRTech"", ""stage"": ""Growth""}, {""name"": ""KhataZone"", ""logo"": ""https://logo.clearbit.com/khatazone.com"", ""sector"": ""Fintech"", ""stage"": ""Growth""}, {""name"": ""BharatBazaar"", ""logo"": ""https://logo.clearbit.com/bharatbazaar.com"", ""sector"": ""Fintech"", ""stage"": ""Seed""}]","[{""company_name"": ""FlexStay"", ""amount"": 3134000.0, ""date"": ""2025-08-03"", ""stage"": ""Series C""}, {""company_name"": ""ShipDesk"", ""amount"": 4160000.0, ""date"": ""2026-06-30"", ""stage"": ""Series C""}, {""company_name"": ""OmniLabs"", ""amount"": 4038000.0, ""date"": ""2025-09-16"", ""stage"": ""Seed""}]","https://images.unsplash.com/photo-1560250097-0b93528c311a?w=400&auto=format&fit=crop&q=80","[{""name"": ""Tanvi Chatterjee"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/alteriacapitalindia""}, {""name"": ""Vivek Shergill"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/vivek-shergill""}, {""name"": ""Varun Kapoor"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/varun-kapoor""}]"
"803","WaterBridge Partners","WaterBridge Partners","Venture Debt","https://images.unsplash.com/photo-1614850709597-25a1659779df?w=150&auto=format&fit=crop&q=60","Premium angel network syndicate of 500+ operators investing in Agritech and HRTech.","Our focus is on backing world-class product builders creating solutions in Agritech and HRTech for global markets. We take a hands-on approach to helping startups build product-market fit.","[""Agritech"", ""HRTech"", ""Proptech""]","[""Growth"", ""MVP"", ""Early Traction"", ""Idea""]","[""Series B"", ""Series A""]","[""B2C"", ""Freemium"", ""B2B"", ""Transactional""]","[""Hyderabad"", ""Ahmedabad""]","898000.0","4320000.0","2889000.0","75","SolarMetrics, FlexFlow, OmniMoney, SaaSMoney, CoreDukaan, FlexPe, AeroTrip","1","91","https://www.waterbridgepartners.vc","https://www.linkedin.com/company/waterbridgepartners","info@waterbridgepartners.vc","https://www.waterbridgepartners.vc/apply","true","true","2024-07-18 18:31:29","2024-09-22 18:31:29","### About WaterBridge Partners

WaterBridge Partners is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Agritech**, **HRTech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.waterbridgepartners.vc/apply.","https://images.unsplash.com/photo-1634017839464-5c339ebe3cb4?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=600&auto=format&fit=crop&q=80","[{""name"": ""SolarMetrics"", ""logo"": ""https://logo.clearbit.com/solarmetrics.com"", ""sector"": ""HRTech"", ""stage"": ""Series B""}, {""name"": ""FlexFlow"", ""logo"": ""https://logo.clearbit.com/flexflow.com"", ""sector"": ""Proptech"", ""stage"": ""Series A""}, {""name"": ""OmniMoney"", ""logo"": ""https://logo.clearbit.com/omnimoney.com"", ""sector"": ""Proptech"", ""stage"": ""Series A""}]","[{""company_name"": ""NovaTrip"", ""amount"": 3211000.0, ""date"": ""2026-03-30"", ""stage"": ""Series A""}, {""company_name"": ""ShikshaMoney"", ""amount"": 2802000.0, ""date"": ""2026-03-01"", ""stage"": ""Series A""}, {""company_name"": ""KrishiDhan"", ""amount"": 3107000.0, ""date"": ""2026-01-08"", ""stage"": ""Series B""}]","https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?w=400&auto=format&fit=crop&q=80","[{""name"": ""Amit Sidhu"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/waterbridgepartners""}, {""name"": ""Vihan Nair"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/vihan-nair""}, {""name"": ""Kabir Suri"", ""role"": ""Partner"", ""linkedin"": ""https://www.linkedin.com/in/kabir-suri""}]"
"804","Creandum Opportunity Fund","Creandum Opportunity Fund","Corporate VC (CVC)","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=150&auto=format&fit=crop&q=60","Independent angel investor and startup operator backing early teams in Edtech.","We invest in double-bottom-line startups addressing systemic gaps in Edtech and Climate Tech. We look for high social/environmental impact combined with commercially viable models.","[""Edtech"", ""Climate Tech"", ""Gaming"", ""Logistics"", ""Fintech""]","[""Idea"", ""Growth""]","[""Series A"", ""Growth""]","[""D2C"", ""Marketplace"", ""Freemium"", ""B2B2C""]","[""Ahmedabad"", ""Mumbai"", ""Bengaluru""]","4093000.0","93910000.0","24557000.0","31","ShikshaBazaar, DhanEasy, OmniLabs, LinkShow, MetaCare","3","46","https://www.creandumopportunityfund.vc","https://www.linkedin.com/company/creandumopportunityfund","info@creandumopportunityfund.vc","https://www.creandumopportunityfund.vc/apply","true","true","2024-10-07 18:31:29","2024-12-20 18:31:29","### About Creandum Opportunity Fund

Creandum Opportunity Fund is a leading early/growth stage investor focusing on tech enablement. We backing startups in **Edtech**, **Climate Tech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.creandumopportunityfund.vc/apply.","https://images.unsplash.com/photo-1618005182384-a83a8bd57fbe?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=600&auto=format&fit=crop&q=80","[{""name"": ""ShikshaBazaar"", ""logo"": ""https://logo.clearbit.com/shikshabazaar.com"", ""sector"": ""Climate Tech"", ""stage"": ""Growth""}, {""name"": ""DhanEasy"", ""logo"": ""https://logo.clearbit.com/dhaneasy.com"", ""sector"": ""Logistics"", ""stage"": ""Series A""}, {""name"": ""OmniLabs"", ""logo"": ""https://logo.clearbit.com/omnilabs.com"", ""sector"": ""Climate Tech"", ""stage"": ""Series A""}]","[{""company_name"": ""GrowEasy"", ""amount"": 20082000.0, ""date"": ""2026-01-07"", ""stage"": ""Growth""}, {""company_name"": ""KhataStay"", ""amount"": 24496000.0, ""date"": ""2025-12-25"", ""stage"": ""Growth""}]","https://images.unsplash.com/photo-1506794778202-cad84cf45f1d?w=400&auto=format&fit=crop&q=80","[{""name"": ""Harish Banerjee"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/creandumopportunityfund""}, {""name"": ""Vihan Khanna"", ""role"": ""Partner"", ""linkedin"": ""https://www.linkedin.com/in/vihan-khanna""}, {""name"": ""Sandeep Johal"", ""role"": ""Partner"", ""linkedin"": ""https://www.linkedin.com/in/sandeep-johal""}]"
"805","Ribbit Group","Ribbit Group","Micro VC","https://images.unsplash.com/photo-1618005198143-e528346d9a59?w=150&auto=format&fit=crop&q=60","Independent angel investor and startup operator backing early teams in AI & Machine Learning.","We believe that the next decade of growth in India will be driven by digitizing traditional industries like AI & Machine Learning and Deeptech. We invest in category-defining companies with high capital efficiency.","[""AI & Machine Learning"", ""Deeptech"", ""HRTech""]","[""Growth"", ""Early Traction"", ""Prototype"", ""Idea""]","[""Series C"", ""Late Stage"", ""Pre-Series A"", ""Series B""]","[""B2B"", ""Freemium"", ""SaaS""]","[""Chennai"", ""Ahmedabad"", ""Kochi""]","113000.0","550000.0","267000.0","62","DataMind, QuantumCare, PulseZone, FinDhan","3","88","https://www.ribbitgroup.com","https://www.linkedin.com/company/ribbitgroup","info@ribbitgroup.com","https://www.ribbitgroup.com/apply","false","true","2026-01-25 18:31:29","2026-04-15 18:31:29","### About Ribbit Group

Ribbit Group is a leading early/growth stage investor focusing on tech enablement. We backing startups in **AI & Machine Learning**, **Deeptech** and related sectors. Our core belief is that technology has the power to democratize access and scale solutions exponentially. 

We act as partners, not just capital providers. We work closely with founders on:
- Product development & roadmap
- Hiring and talent acquisition
- Follow-on fundraising syndication

Interested founders can submit their decks via https://www.ribbitgroup.com/apply.","https://images.unsplash.com/photo-1634017839464-5c339ebe3cb4?w=1200&auto=format&fit=crop&q=80","https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=600&auto=format&fit=crop&q=80","[{""name"": ""DataMind"", ""logo"": ""https://logo.clearbit.com/datamind.com"", ""sector"": ""AI & Machine Learning"", ""stage"": ""Series B""}, {""name"": ""QuantumCare"", ""logo"": ""https://logo.clearbit.com/quantumcare.com"", ""sector"": ""AI & Machine Learning"", ""stage"": ""Pre-Series A""}, {""name"": ""PulseZone"", ""logo"": ""https://logo.clearbit.com/pulsezone.com"", ""sector"": ""Deeptech"", ""stage"": ""Pre-Series A""}]","[{""company_name"": ""EcoMind"", ""amount"": 282000.0, ""date"": ""2026-06-23"", ""stage"": ""Series C""}, {""company_name"": ""IntelDukaan"", ""amount"": 281000.0, ""date"": ""2026-05-18"", ""stage"": ""Late Stage""}, {""company_name"": ""DataGo"", ""amount"": 290000.0, ""date"": ""2025-07-20"", ""stage"": ""Pre-Series A""}]","https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=400&auto=format&fit=crop&q=80","[{""name"": ""Shilpa Mann"", ""role"": ""Managing Partner"", ""linkedin"": ""https://www.linkedin.com/company/ribbitgroup""}, {""name"": ""Anil Banerjee"", ""role"": ""Principal"", ""linkedin"": ""https://www.linkedin.com/in/anil-banerjee""}]"
